YEAR,keyword1,keyword2
2010,7,154
2010,9,10620
2010,3,11
2010,4,179
2010,1,1037
2010,3,188
2010,9,10827
2011,11,18
2011,7,196
2011,7,665
2011,2,6
2011,4,14
2011,10,192
2011,11,644
2011,3,20
2011,2,230
2011,11,10022
2011,3,1291
2011,31,129
2011,8,38
2011,2,160
2011,7,195
2011,4,53
2011,3,6
2011,6,36
2011,11,186
2011,3,34
2011,3,5012
2011,6,173
2011,10,1622
2011,2,3
2011,10,1431
2011,6,12
2011,3,349
2011,6,201
2011,6,49
2011,6,162
2011,2,5
2011,6,244
2011,5,794
2011,10,210
2011,6,23
2011,4,13
2011,2,37
2011,2,22
2011,4,1320
2011,11,13
2011,1,3053
2011,9,165
2011,3,71
2011,33,420
2011,18,33
2011,6,42
2011,3,286
2011,8,10
2011,7,3697
2011,4,89
2011,1,630
2011,11,65
2011,4,6320
2011,4,194
2011,3,57
2011,2,783
2011,8,119
2011,33,219
2011,4,144
2011,8,650
2011,10,555
2011,8,257
2011,8,446
2011,25,33
2011,4,122
2011,2,47
2011,11,22
2011,4,153
2011,2,188
2011,2,52
2011,1,803
2011,2,615
2011,8,21
2011,4,115
2011,4,3121
2011,9,1342
2011,9,189
2011,3,18
2011,9,7688
2011,9,78
2011,7,3915
2011,7,978
2011,31,240
2011,31,8122
2011,9,144
2011,31,134
2011,1,13699
2011,8,172
2011,7,794
2011,1,281
2011,8,732
2011,10,9792
2011,6,19
2011,1,29
2011,1,1826
2011,6,51
2011,9,158
2011,6,93
2011,7,116
2011,9,114
2011,2,406
2011,3,4310
2011,3,251
2011,2,2181
2011,31,4832
2011,5,6
2011,6,122
2011,1,356
2011,9,3093
2011,6,6949
2011,2,71
2011,7,274
2011,3,7
2011,2,920
2011,4,11
2011,7,14
2011,2,33
2011,10,580
2011,2,227
2011,4,34
2011,3,93
2011,2,158
2011,3,179
2011,9,3956
2011,7,176
2011,10,50
2011,7,48
2011,2,69
2011,4,420
2011,31,620
2011,24,31
2011,33,50
2011,9,211
2011,6,1814
2011,3,7353
2011,8,859
2011,8,487
2011,3,25
2011,3,2570
2011,8,307
2011,4,571
2011,2,3376
2011,31,1848
2011,8,1077
2011,10,4203
2011,7,41
2011,1,302
2011,5,127
2011,3,89
2011,33,3868
2011,2,466
2011,31,64
2011,1,931
2011,1,505
2011,1,13126
2011,8,1477
2011,8,4389
2011,9,2011
2011,1,2450
2011,8,1838
2011,1,1509
2011,9,1759
2011,8,106
2011,1,140
2011,10,264
2011,10,3199
2011,8,72
2011,10,241
2011,1,3368
2011,1,283
